PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,[1] HREC_ETIS_1.raw.PG.Quantity,[2] HREC_ETIS_2.raw.PG.Quantity,[3] HREC_ETIS_3.raw.PG.Quantity,[4] HREC_ETIS_4.raw.PG.Quantity,[5] HREC_IRIS_1.raw.PG.Quantity,[6] HREC_IRIS_2.raw.PG.Quantity,[7] HREC_IRIS_3.raw.PG.Quantity,[8] HREC_IRIS_4.raw.PG.Quantity,[9] HREC_P_1.raw.PG.Quantity,[10] HREC_P_2.raw.PG.Quantity,[11] HREC_P_3.raw.PG.Quantity,[12] HREC_P_4.raw.PG.Quantity
A0A0B4J2D5;P0DPI2,GATD3B;GATD3A,"Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial",74942.48438,88187.47656,82227.61719,78289.61719,75906.85156,77631.63281,72116.15625,87523.17188,37776.89453,41027.78125,46600.32031,42149.10547
A0A0B4J2F0,PIGBOS1,Protein PIGBOS1,NaN,NaN,NaN,NaN,NaN,1.695894957,NaN,NaN,1,NaN,NaN,NaN
A0A0B4J2F2;P57059,SIK1B;SIK1,Probable serine/threonine-protein kinase SIK1B;Serine/threonine-protein kinase SIK1,1757.82605,442.7210388,871.9398193,1371.973145,308.4804993,1311.90271,1285.4552,1326.969727,1420.483398,962.3352661,1836.913574,1081.93042
A0AV96,RBM47,RNA-binding protein 47,99287.63281,94108.82813,97593.71875,92642.25781,87107.76563,87512.32813,75057.64063,79612.10938,89571.50781,81982.83594,82098.47656,79893.04688
A0AVF1,TTC26,Intraflagellar transport protein 56,8479.771484,8406.070313,6648.013184,4648.839844,8746.126953,9517.826172,5139.880371,6586.214844,5646.941406,9041.330078,7846.61084,8479.295898
A0AVI2,FER1L5,Fer-1-like protein 5,2543.593506,3273.900879,5353.905273,4970.127441,3744.961426,3570.345215,5250.022461,5526.102051,2718.927734,2792.198975,1269.212402,5031.126953
A0AVT1,UBA6,Ubiquitin-like modifier-activating enzyme 6,239636.9063,235711.75,239933.9219,236754.875,254030.0469,260178.5156,234978.3906,248863.5313,226283.75,209793.5781,201399.375,220199.875
A0FGR8,ESYT2,Extended synaptotagmin-2,117684.3906,120616.9688,115390.7188,111979.5391,108623.5625,116574.1484,116274.25,115208.2188,96919.22656,87355.21094,92520.75,80587.84375
A0JNW5,UHRF1BP1L,UHRF1-binding protein 1-like,3305.045166,4034.065674,2113.292725,3769.890137,2942.867188,2205.557861,2978.042969,3662.72168,1914.41626,3177.555908,4625.804199,3775.907227
A0MZ66,SHTN1,Shootin-1,52684.97266,52767.14453,51253.54688,48783.30859,44969.26953,48541.54688,48097.47656,47543.12891,36506.99219,40487.93359,41144.45313,37386.85938
A0PJW6,TMEM223,Transmembrane protein 223,2435.193115,1708.702759,3153.368408,941.0695801,1021.497375,780.4833984,1264.720093,1528.671143,5731.55127,1256.373291,4251.086426,975.0154419
A1A4S6,ARHGAP10,Rho GTPase-activating protein 10,3423.20874,9798.822266,7482.125,9299.560547,5160.763672,9529.052734,4504.613281,8905.446289,4518.888672,4351.790039,10036.97656,9295.511719
A1A5C7,SLC22A23,Solute carrier family 22 member 23,9186.251953,8876.987305,8831.342773,9764.272461,6436.696289,10431.8623,10438.33789,10738.23242,3313.18042,7866.033203,8267.59082,8929.832031
A1A5D9,BICDL2,BICD family-like cargo adapter 2,405.6441345,191.2518768,905.9206543,941.7381592,1080.875488,NaN,360.1520081,497.9552002,574.2178955,732.199646,598.6293945,188.5114136
A1IGU5,ARHGEF37,Rho guanine nucleotide exchange factor 37,9434.450195,9744.257813,9332.942383,8568.551758,8439.236328,7420.733398,7989.83252,8242.541992,2540.81543,4996.586426,4252.794922,3912.28833
A1KXE4,FAM168B,Myelin-associated neurite-outgrowth inhibitor,12700.02539,6351.626953,6124.879395,4819.529785,5831.106445,5504.755371,4188.348633,3827.79541,11025.04492,11349.50586,1552.060913,10670.1084
A1L0T0,ILVBL,2-hydroxyacyl-CoA lyase 2,76665.15625,60995.28906,75316.32813,76744.42969,75524.82813,92575.3125,71290.46094,72925.11719,78344.57813,50081.75781,77942.3125,54356.08203
A1L390,PLEKHG3,Pleckstrin homology domain-containing family G member 3,48303.10547,44103.28125,48223.89844,41481.69922,44097.70313,39704.09766,40963.38672,38300.85938,27027.11328,35913.00781,30639.35156,33238.55469
A1X283,SH3PXD2B,SH3 and PX domain-containing protein 2B,36854.17578,32493.15039,32174.56445,30612.67188,33586.14063,29676.22656,33297.28125,28845.0918,25264.14844,28719.34375,28342.16992,25597.81641
A1XBS5,FAM92A,Protein FAM92A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.415602177,NaN,NaN,NaN
A2A2Y4,FRMD3,FERM domain-containing protein 3,7285.903809,1276.647583,1475.548096,1062.898804,4544.414551,710.5742188,4493.222168,6529.068359,6174.742676,1908.173096,2069.553467,1511.046509
A2RRP1,NBAS,Neuroblastoma-amplified sequence,46121.30078,44869.70313,50489.55859,46177.24219,48969.19141,50674.85156,47068.35547,52332.42188,46253.83984,43021.84375,46079.61719,45174.54688
A2RTX5,TARS3,"Threonine--tRNA ligase 2, cytoplasmic",6038.371582,5432.444336,7355.17041,6399.933594,6959.787598,6062.875977,6270.213379,6050.623047,5377.615234,6785.160156,3986.760498,6157.03125
A2RUC4,TYW5,tRNA wybutosine-synthesizing protein 5,5167.391602,7739.188965,6096.577148,7616.420898,7072.069824,7300.492676,5858.59082,8435.004883,3385.612061,6744.83252,4739.016113,6156.257324
A2RUS2,DENND3,DENN domain-containing protein 3,29623.17969,24185.24805,24591.20117,25229.42578,26566.95898,28236.37695,25124.46094,26971.64648,19473.58008,20422.32813,23671.39063,21089.39258
A2VDF0,FUOM,Fucose mutarotase,34462.05859,28680.73438,28719.5625,31294.91797,36124.89453,31223.04297,31917.05469,30824.77148,33795.40234,29244.7168,28906.87109,28203.62891
A3KMH1,VWA8,von Willebrand factor A domain-containing protein 8,47672.38281,43918.33203,45410.96875,48493.10938,49397.375,51762.24219,50902.71484,51200.42969,35984.88672,38805.26953,34816.86719,36839.04688
A3KN83,SBNO1,Protein strawberry notch homolog 1,13701.05957,12704.81738,12225.80078,14532.16895,10036.48633,13095.49805,13090.20508,8046.545898,17110.19336,16690.78125,18159.60742,18830.73047
A4D1E9,GTPBP10,GTP-binding protein 10,1904.826782,161.9901428,3967.591797,NaN,3091.074951,4073.827393,3000.220459,276.2839966,4663.198242,1929.839233,3352.451416,2224.21582
A4D1P6,WDR91,WD repeat-containing protein 91,60356.86719,86228.33594,84785.8125,78324.625,74139.88281,70687.28125,71811.58594,61704.33594,49836.25781,60983.26563,57097.65234,66900.07031
A4D1S0,KLRG2,Killer cell lectin-like receptor subfamily G member 2,208.6778564,173.4192352,106.7424316,101.3116455,367.5388184,249.1073151,298.6225281,332.0111389,127.8139954,NaN,395.2220764,352.854126
A4D1S5,RAB19,Ras-related protein Rab-19,3031.493408,3943.928711,4019.983887,3211.091797,3410.913574,2680.50708,3009.831055,3081.828369,2351.072754,2620.625488,1578.069458,2333.852295
A4D1U4,DENND11,DENN domain-containing protein 11,396.6860962,131.0979462,244.9992218,NaN,NaN,NaN,NaN,NaN,949.3214722,NaN,845.5632935,NaN
A4FU01,MTMR11,Myotubularin-related protein 11,191.997406,155.5839386,NaN,119.8927078,NaN,104.637619,126.9200134,46.58189774,NaN,218.1530304,NaN,NaN
A5D8T8;Q6UXF7;Q8NCF0,CLEC18A;CLEC18B;CLEC18C,C-type lectin domain family 18 member A;C-type lectin domain family 18 member B;C-type lectin domain family 18 member C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.55604744,1.477953076,1.236379385,1
A5PLL1,ANKRD34B,Ankyrin repeat domain-containing protein 34B,NaN,392.027832,73.26687622,520.4412231,1777.337158,163.0479126,259.2131348,146.8241425,4341.95459,217.4311066,170.1031647,1246.251465
A5PLN9,TRAPPC13,Trafficking protein particle complex subunit 13,14904,18843.57227,17866.98438,18836.47461,20101.875,20861.59766,17775.83008,14852.34375,12538.09668,10851.85254,12113.60059,16429.75781
A5YKK6,CNOT1,CCR4-NOT transcription complex subunit 1,74172.92969,69145.41406,72503.75,65728.51563,69522.45313,74073.92969,72674.0625,73130.79688,78254.21875,84240.6875,85051.51563,88658.26563
A5YM69,ARHGEF35,Rho guanine nucleotide exchange factor 35,3657.283203,3885.349854,4288.557617,3850.572754,3529.089111,4993.810059,4348.684082,3935.510986,3631.692139,4679.21875,3472.569092,3875.071777
A6NCE7;Q9GZQ8;Q9H492,MAP1LC3B2;MAP1LC3B;MAP1LC3A,Microtubule-associated proteins 1A/1B light chain 3 beta 2;Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3A,NaN,0.129871055,NaN,NaN,NaN,1,NaN,NaN,2.243353128,NaN,NaN,NaN
A6ND36,FAM83G,Protein FAM83G,10595.95605,8585.59082,9431.099609,10834.67578,9700.819336,10292.8125,8384.404297,9520.630859,9528.97168,10768.61328,10654.46387,7754.424805
A6NDG6,PGP,Glycerol-3-phosphate phosphatase,67960.67188,53543.09766,54226.58594,47803.27344,56014.00781,50371.46875,42489.15234,45487.63281,62413.60156,73875.83594,48372.25781,59439.26172
A6NDU8,C5orf51,UPF0600 protein C5orf51,13232.6582,9105.598633,11211.46777,9599.3125,12516.53418,11611.37207,13801.34375,9783.984375,13812.90723,12316.61719,14650.59668,12654.44629
A6NED2,RCCD1,RCC1 domain-containing protein 1,10673.3252,8815.033203,11372.98438,3422.666748,8604.693359,7357.198242,5827.098633,6527.187988,5984.946777,6232.232422,3043.936279,5079.806641
A6NEL2,SOWAHB,Ankyrin repeat domain-containing protein SOWAHB,907.5784912,396.1221008,814.7754517,1295.730713,1071.502686,647.0517578,1046.036865,1145.48938,389.1169128,NaN,480.1583862,243.3158875
A6NFI3,ZNF316,Zinc finger protein 316,NaN,NaN,NaN,NaN,0.058872696,1.036489248,NaN,NaN,1.33221662,NaN,NaN,NaN
A6NFQ2,TCAF2,TRPM8 channel-associated factor 2,5425.255859,7367.394043,5298.914063,5448.437012,4084.294434,3461.601563,2929.78125,4041.153809,3705.827148,5416.641113,5405.278809,4568.509277
A6NGB9,WIPF3,WAS/WASL-interacting protein family member 3,4455.406738,3574.966309,3149.76709,3521.997559,3466.760742,2810.221436,2310.834229,444.0081482,1915.102661,2977.42334,2978.842285,2056.683838
A6NGC4,TLCD2,TLC domain-containing protein 2,1005.148743,292.2250366,752.6142578,977.5205688,919.0776367,292.8556824,530.9464722,NaN,550.1323242,442.4205933,1373.050781,516.4586182
A6NHL2,TUBAL3,Tubulin alpha chain-like 3,266840.375,211993.1875,126077.4375,97072.375,115340.1094,135069.6406,169471.7656,187401.0938,102346.5859,120109.8516,109672.0625,114202.8203
A6NHQ2,FBLL1,rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1,857.7810059,793.8530884,645.7035522,977.6293335,893.939209,750.0130615,1060.41333,363.1047668,258.2979736,272.9660645,131.7221222,227.4725189
A6NHR9,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,6110.286621,7493.937988,8486.735352,7541.038574,9168.166992,9030.623047,8713.897461,8798.683594,10585.38574,10016.12695,8205.4375,13699.61035
A6NI28,ARHGAP42,Rho GTPase-activating protein 42,NaN,1.840774298,1.481470227,1.594291925,1.352463365,1.969491959,2.005242348,1.806141257,NaN,1.357329369,NaN,0.979917407
A6NI72;A8MVU1;P14598,NCF1B;NCF1C;NCF1,Putative neutrophil cytosol factor 1B;Putative neutrophil cytosol factor 1C;Neutrophil cytosol factor 1,8615.988281,5716.435059,4551.107422,9328.469727,4551.041992,7712.659668,9984.635742,9729.328125,4741.871094,9158.511719,5455.839355,8071.526367
A6NIH7,UNC119B,Protein unc-119 homolog B,11616.16602,12261.82813,11047.01855,12247.15234,9016.248047,11819.08203,12789.43945,9968.292969,5548.391113,5302.097656,7912.064941,5994.039063
A6NJ78,METTL15,12S rRNA N4-methylcytidine (m4C) methyltransferase,12430.70996,9170.143555,10259.79785,8647.631836,11310.78516,9712.552734,8466.121094,14211.52246,13892.64746,9975.662109,13313.78418,10830.73242
A6NJI9,LRRC72,Leucine-rich repeat-containing protein 72,3534.680908,3334.529541,18030.375,2440.931885,17497.875,3746.166748,3096.77002,1106.466064,1564.353516,6528.401367,3033.231201,17416.05078
A6NK58,LIPT2,"Putative lipoyltransferase 2, mitochondrial",1268.026611,9008.889648,935.0965576,1052.718384,1227.056519,867.2276001,1503.178223,433.6554871,426.4107971,444.1862488,1085.972412,461.4755249
A6NKD9,CCDC85C,Coiled-coil domain-containing protein 85C,1419.661499,2314.97583,1976.534058,1946.705811,1536.369385,1519.790283,872.2121582,1623.399902,3244.654297,1515.884033,1331.434448,955.2727661
